company,priceHour,priceDay,priceWeek,priceMonth
DOW,57.53,59.72,60.23,1
DPZ,448.93,472.71,469.33,1
DRI,136.87,139.66,142.4,1
DSKY,1.0,1.0,1.0,1
DUK,103.51,102.25,104.0,1
DVA,110.2,110.46,115.62,1
DVEC,1.0,1.0,1.0,1
DVN,46.7,49.29,49.79,1
DXC,31.43,32.15,33.63,1
DXCM,427.28,443.43,446.53,1
DZRD,1.0,1.0,1.0,1
DZRDP,1.0,1.0,1.0,1
EA,138.86,137.69,129.91,1
EBAY,60.24,62.56,63.45,1
ECL,199.98,216.17,215.96,1
ED,82.81,82.39,83.19,1
EELT,1.0,1.0,1.0,1
EFX,230.19,236.49,249.64,1
EHTH,22.44,22.91,24.82,1
EIX,63.14,63.63,63.53,1
EL,300.0,313.59,320.87,1
ELTZ,1.0,1.0,1.0,1
EMN,122.33,127.73,126.78,1
EMR,94.47,95.68,97.01,1
ENPG,1.0,1.0,1.0,1
ENPH,130.43,136.29,141.2,1
ENRU,1.0,1.0,1.0,1
EOG,101.69,105.35,104.76,1
EQT,20.54,22.38,23.56,1
ES,87.78,87.33,87.09,1
ETR,110.39,110.65,110.94,1
ETSY,156.62,166.04,162.13,1
EVRG,64.51,65.14,65.82,1
EW,113.62,117.06,117.8,1
EXC,56.85,56.6,56.31,1
EXPD,117.77,120.37,121.08,1
EXPE,178.34,178.36,182.22,1
F,21.18,22.68,25.19,1
FANG,119.74,125.86,127.04,1
FAST,56.7,58.37,59.08,1
FB,312.5,323.53,330.32,1
FBHS,96.83,98.1,101.26,1
FCX,42.05,44.22,43.92,1
FDX,247.74,253.51,254.99,1
FE,41.85,41.58,41.51,1
FEES,1.0,1.0,1.0,1
FESH,1.0,1.0,1.0,1
FFIV,224.06,224.07,234.49,1
FIS,113.46,114.03,116.97,1
FISV,106.52,106.69,109.0,1
FITB,45.91,48.17,49.87,1
FLOT,50.71,50.72,50.71,1
FLT,231.9,238.59,244.42,1
FMC,110.51,111.75,113.78,1
FNKO,16.9,17.45,17.59,1
FOX,35.34,36.59,37.49,1
FSLR,77.83,82.22,81.75,1
FSLY,29.29,30.15,30.8,1
FTNT,300.66,312.17,311.05,1
FTV,71.79,72.53,72.24,1
GAZA,1.0,1.0,1.0,1
GAZAP,1.0,1.0,1.0,1
GAZC,1.0,1.0,1.0,1
GAZP,1.0,1.0,1.0,1
GAZS,1.0,1.0,1.0,1
GAZT,1.0,1.0,1.0,1
GCHE,1.0,1.0,1.0,1
GD,209.83,211.62,212.28,1
GE,97.54,100.97,102.43,1
GEMA,1.0,1.0,1.0,1
GEVO,3.42,3.83,4.05,1
GILD,68.48,69.53,71.54,1
GIS,68.96,69.3,69.7,1
GLW,35.49,36.23,37.06,1
GM,54.29,57.0,60.78,1
GMKN,1.0,1.0,1.0,1
GNRC,276.77,295.03,304.47,1
GOOG,2672.96,2750.12,2795.44,1
GPC,131.93,135.59,137.08,1
GPN,143.23,146.56,148.99,1
GPS,16.16,16.82,18.09,1
GS,345.56,347.92,378.04,1
GT,22.03,22.6,23.72,1
GTHX,8.97,9.35,9.86,1
GTRK,1.0,1.0,1.0,1
GTSS,1.0,1.0,1.0,1
GWW,499.48,500.21,498.81,1
HAL,27.76,28.33,28.61,1
HAS,96.64,99.5,99.26,1
HBAN,15.35,17.15,17.47,1
HBI,15.76,16.47,16.65,1
HCA,238.95,248.09,255.26,1
HD,354.17,362.59,372.62,1
HES,88.19,91.3,91.29,1
HIG,70.54,70.94,72.21,1
HII,194.07,194.78,196.94,1
HIMC,1.0,1.0,1.0,1
HIMCP,1.0,1.0,1.0,1
HLT,144.57,143.47,147.73,1
HOLX,70.4,70.51,69.17,1
HON,207.37,212.24,217.17,1
HOOD,13.19,14.2,14.93,1
HPE,16.39,16.84,17.42,1
HPQ,35.49,37.05,38.19,1
HRL,49.15,49.29,48.92,1
HRTX,8.65,8.53,8.35,1
HSIC,74.85,75.48,77.23,1
HSY,200.58,199.35,199.03,1
HUM,380.55,381.37,389.82,1
HWM,33.22,34.04,34.72,1
HYDR,16.46,16.9,17.97,1
IBM,131.0,132.41,133.67,1
ICE,127.3,126.5,125.9,1
IDXX,509.69,526.91,526.96,1
IEX,219.53,216.22,219.62,1
IFF,142.99,140.69,145.15,1
IGST,1.0,1.0,1.0,1
IGSTP,1.0,1.0,1.0,1
ILMN,377.17,390.94,404.02,1
INCY,75.24,75.21,74.18,1
INGR,99.04,101.09,100.65,1
INTC,52.85,54.0,55.45,1
INTU,541.49,552.47,549.5,1
IP,47.94,49.27,49.41,1
IPG,36.02,36.69,37.76,1
IPGP,150.32,155.9,160.16,1
IQV,244.96,242.88,244.29,1
IR,57.61,58.91,59.02,1
IRAO,1.0,1.0,1.0,1
IRGZ,1.0,1.0,1.0,1
IRKT,1.0,1.0,1.0,1
ISKJ,1.0,1.0,1.0,1
ISRG,273.2,297.18,306.69,1
IT,282.74,282.99,284.6,1
ITW,239.18,243.27,243.18,1
J,128.04,129.84,132.45,1
